"","nodeid","Height","Direc","Dist","Tree"
"1","24","10.5","WSW","0.1","edge"
"2","20","12.7","WSW","0.1","edge"
"3","27","14.9","WSW","0.1","edge"
"4","38","16.6","WSW","0.1","edge"
"5","0","16.9","NW","0.1","edge"
"6","67","19.7","SW","0.1","edge"
"7","55","21.5","SW","0.1","edge"
"8","114","23.3","SW","0.1","edge"
"9","198","24.8","NW","0.1","edge"
"10","111","26","WSW","0.1","edge"
"11","107","28.4","WSW","0.1","edge"
"12","64","29.8","NW","0.1","edge"
"13","73","30.7","WSW","0.1","edge"
"14","116","32.6","WSW","0.1","edge"
"15","44","33.5","WSW","5","edge"
"16","76","35","NW","0.1","edge"
"17","16","35.2","WSW","0.1","edge"
"18","23","36.6","SW","0.1","edge"
"19","143","37.5","SW","3","edge"
"20","82","37.9","S","0.1","edge"
"21","132","39.4","WSW","0.1","edge"
"22","2","40.8","S","0.1","edge"
"23","68","40.9","WNW","0.1","edge"
"24","115","41.8","SW","0.1","edge"
"25","40","42","S","3","edge"
"26","49","42.2","W","3","edge"
"27","101","43","W","0.1","edge"
"28","60","43.3","S","0.1","edge"
"29","19","44.9","SW","0.1","edge"
"30","130","45.4","SW","3","edge"
"31","120","46.6","NE","0.1","edge"
"32","62","46.6","SW","0.1","edge"
"33","140","47","E","2","edge"
"34","199","47.1","W","3","edge"
"35","65","47.4","NE","3","edge"
"36","102","47.6","S","3","edge"
"37","142","47.7","SW","0.1","edge"
"38","15","48.4","SW","0.1","edge"
"39","11","49.4","SW","0.1","edge"
"40","200","49.5","NE","0.1","edge"
"41","104","50.1","SW","0.1","edge"
"42","103","51.1","SW","0.1","edge"
"43","128","52.1","SW","0.1","edge"
"44","33","53.4","SW","0.1","edge"
"45","136","54.5","SW","0.1","edge"
"46","50","55.5","SW","0.1","edge"
"47","17","56.5","SW","0.1","edge"
"48","139","16.4","SW","0.1","interior"
"49","80","22.9","SW","1","interior"
"50","29","24.4","W","0.1","interior"
"51","41","27.3","WSW","1","interior"
"52","14","29.3","SW","0.1","interior"
"53","22","31.3","S","1","interior"
"54","196","34.2","ESE","1","interior"
"55","144","37.7","S","0.1","interior"
"56","141","40.3","S","0.1","interior"
"57","145","42","SW","3","interior"
"58","46","42.9","SW","0.1","interior"
"59","197","44.9","NW","4","interior"
"60","4","46.6","SW","0.1","interior"
"61","77","49.4","SW","0.1","interior"
"62","110","49.6","WNW","4","interior"
"63","123","49.8","E","4","interior"
"64","3","50","SW","3","interior"
"65","5","52.1","SW","0.1","interior"
"66","70","53.7","WSW","0.1","interior"
"67","74","54","NE","3","interior"
"68","59","54.5","NW","4","interior"
"69","119","55.2","WSW","3","interior"
"70","134","56.1","WSW","0.1","interior"
"71","138","57.8","WSW","0.1","interior"
"72","42","59.1","SW","0.1","interior"
"73","127","60.1","SW","0.1","interior"
"74","122","61.1","SW","0.1","interior"
"75","129","62","SW","0.1","interior"
"76","105","62.9","SW","0.1","interior"
"77","118","63.5","SW","0.1","interior"
"78","109","64.5","SW","0.1","interior"
"79","113","65.5","SW","0.1","interior"
"80","78","66.5","SW","0.1","interior"
